,0
0,"With 64% ownership of the shares, Verizon Communications Inc. (NYSE:VZ) is heavily dominated by institutional owners"
1,Improved Earnings Required Before Verizon Communications Inc. (NYSE:VZ) Shares Find Their Feet
2,Can Verizon Communications Inc.'s (NYSE:VZ) ROE Continue To Surpass The Industry Average?
3,Verizon Communications Inc.'s (NYSE:VZ) Prospects Need A Boost To Lift Shares
4,Is it Worthy to Invest Your Hard Earned Money in Verizon Communications (VZ)?
5,Verizon Falls to 11-Year Low After Stumble on Subscriber Growth
6,"Verizon stock headed for its biggest gain of the year, remains highest-yielding Dow component"
7,Verizon: It's Time To Be Greedy
8,Verizon: Blood In The Streets
9,Verizon: A Highly Lucrative Buying Opportunity
10,What The Market Gets Wrong About Verizon - A Contrarian View
11,Lo And Behold Verizon At 10Y Low - Will We See Higher Yields Soon?
12,"Earnings Outlook: Verizon has hit a speed bump, but earnings could show a better road ahead"
13,CVS Health Corporation (NYSE:CVS) insiders made a handsome profit after selling stock presently valued at US$97.80 apiece for US$107
14,Market Still Lacking Some Conviction On CVS Health Corporation (NYSE:CVS)
15,CVS Health: Future Is Healthy
16,Is There An Opportunity With CVS Health Corporation's (NYSE:CVS) 47% Undervaluation?
17,CVS Health Is A Strong Diversified Healthcare Play
18,CVS Health reports third quarter 2022 results
19,CVS Health Corporation (NYSE:CVS) insiders made a handsome profit after selling stock presently valued at US$92.72 apiece for US$107
20,Should Investors Buy CVS Stock Before Q3 Earnings?
21,CVS HEALTH REPORTS THIRD QUARTER RESULTS
22,Company Close Updates: Digital Realty Trust Inc. stock outperforms market despite losses on the day
23,"Company Close Updates: Digital Realty Trust Inc. stock rises Thursday, outperforms market"
24,Digital Realty Trust (DLR) Gains But Lags Market: What You Should Know
25,"Company Close Updates: Digital Realty Trust Inc. stock falls Wednesday, underperforms market"
26,Digital Realty: 3 Takeaways From Q3 2022
27,"Company Close Updates: Digital Realty Trust Inc. stock falls Monday, underperforms market"
28,": Taiwan Semiconductor Manufacturing stock price target cut by 25%, to NT$600 from NT$800 at Wedbush"
29,Taiwan Semiconductor Stock Is Struggling Ahead of Earnings
30,Taiwan Semiconductor Q3 Preview: Can Shares Find New Life?
31,Medical Properties Trust Q3 Update: Is It Time To Buy?
32,Medical Properties Trust Announces Authorization of Stock Repurchase Program
33,Looking Beyond GAAP: Medical Properties Trust
34,"Medical Properties Trust, Inc. (MPW) Q3 2022 Earnings Call Transcript"
35,"Medical Properties Trust, Inc. Reports Third Quarter Results"
36,Global Medical REIT Inc. (GMRE) Q3 2022 Earnings Call Transcript
37,Global Medical REIT Announces Third Quarter 2022 Financial Results
38,Global Medical REIT: Passive Income Machine With Safe 10.8% Yield
39,Why Abbott Laboratories Stock Is Slumping Today
40,Better Bear-Market Buy: Abbott Laboratories vs. AbbVie Stock
41,Is Weakness In Abbott Laboratories (NYSE:ABT) Stock A Sign That The Market Could be Wrong Given Its Strong Financial Prospects?
42,Abbott Laboratories' (NYSE:ABT) Stock Has Been Sliding But Fundamentals Look Strong: Is The Market Wrong?
43,Abbott Laboratories (NYSE:ABT) institutional owners may be pleased with recent gains after 22% loss over the past year
44,Abbott Laboratories (NYSE:ABT) Shares Could Be 32% Below Their Intrinsic Value Estimate
45,Abbott Laboratories (NYSE:ABT) Shares Could Be 25% Below Their Intrinsic Value Estimate
46,Is Weakness In Abbott Laboratories (NYSE:ABT) Stock A Sign That The Market Could be Wrong Given Its Strong Financial Prospects?
47,ABBOTT LABORATORIES (NYSE: ABT) SHAREHOLDER CLASS ACTION ALERT: Bernstein Liebhard LLP Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Abbott Laboratories (NYSE: ABT)
48,ABBOTT LABORATORIES (NYSE: ABT) SHAREHOLDER CLASS ACTION ALERT: Bernstein Liebhard LLP Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Abbott Laboratories (NYSE: ABT)
49,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Abbott Laboratories - ABT
50,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Abbott Laboratories - ABT
51,Moore Kuehn Encourages Investors of Abbott Laboratories to Contact Law Firm
52,FILING DEADLINE--Kuznicki Law PLLC Announces Class Action on Behalf of Shareholders of Abbott Laboratories - ABT
53,FILING DEADLINE--Kuznicki Law PLLC Announces Class Action on Behalf of Shareholders of Abbott Laboratories - ABT
54,"SHAREHOLDER ALERT: The Gross Law Firm Notifies Shareholders of Abbott Laboratories of a Class Action Lawsuit and a Lead Plaintiff Deadline of October 31, 2022 - (NYSE: ABT)"
55,ABT LAWSUIT ALERT: Levi & Korsinsky Notifies Abbott Laboratories Investors of a Class Action Lawsuit and Upcoming Deadline
56,"ABT ALERT: The Klein Law Firm Announces a Lead Plaintiff Deadline of October 31, 2022 in the Class Action Filed on Behalf of Abbott Laboratories Shareholders"
57,Abbott Laboratories: Shares Remain Expensive While In A Technical Downtrend Ahead Of Earnings
58,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Abbott Laboratories - ABT
59,Is Abbott Laboratories Still a Good Dividend Stock to Buy?
60,This Groundbreaking Device Just Keeps Winning for Abbott Labs
61,"Abbott Labs Reports Narrower-Than-Expected Quarterly Declines, And Shares Topple"
62,Are You Optimistic About Abbott Laboratories (ABT)’s Long-Term Opportunities?
63,Abbott Is Likely To Beat Q3 Estimates - Here's Why I'm Still Not A Buyer
64,"Abbott attributes Q3 sales decline to baby formula shortage, less COVID-19 testing"
65,"Thursday’s Top Analyst Upgrades and Downgrades: Abbott Labs, Halliburton, Invesco, Mattel, Netflix, Roblox, Synchrony, Visa and More"
66,Abbott Recall: Similac Among Liquid Products Pulled Due To Spoilage Risk
67,"Earnings Previews: Abbott Labs, ASML, Baker Hughes, Procter & Gamble"
68,Can Abbott maintain EPS beat run in Q3 as industry faces slowdown in COVID products demand?
69,ABBOTT LABORATORIES (NYSE: ABT) SHAREHOLDER CLASS ACTION ALERT: Bernstein Liebhard LLP Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Abbott Laboratories (NYSE: ABT)
70,"Abbott Investors: Please Contact the Portnoy Law Firm to Recover Your Losses; Last Days to Actively Participate in the Case; October 31, 2022"
71,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Abbott Laboratories - ABT
72,"ABT SHAREHOLDER ALERT: Jakubowitz Law Reminds Abbott Shareholders of a Lead Plaintiff Deadline of October 31, 2022"
73,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Latch, Azure, Abbott, and TuSimple and Encourages Investors to Contact the Firm"
74,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Abbott, TuSimple, Kohl’s, and Bed Bath & Beyond and Encourages Investors to Contact the Firm"
75,"SHAREHOLDER ALERT: The Gross Law Firm Notifies Shareholders of Abbott Laboratories of a Class Action Lawsuit and a Lead Plaintiff Deadline of October 31, 2022 - (NYSE: ABT)"
76,"ABT SHAREHOLDER ALERT: Jakubowitz Law Reminds Abbott Shareholders of a Lead Plaintiff Deadline of October 31, 2022"
77,The Walt Disney Company (NYSE:DIS) Shares Could Be 44% Below Their Intrinsic Value Estimate
78,"Following a 45% decline over last year, recent gains may please The Walt Disney Company (NYSE:DIS) institutional owners"
79,Here’s Why Third Point Reinitiated its Position in The Walt Disney Company (DIS)
80,Why Walt Disney Stock Is Down 30% This Year
81,Why I Would Overweight The Walt Disney Stock In An Investment Portfolio
82,The Walt Disney Company (NYSE:DIS) Shares Could Be 45% Below Their Intrinsic Value Estimate
83,"Despite delivering investors losses of 40% over the past 1 year, Walt Disney (NYSE:DIS) has been growing its earnings"
84,"Recent gains in Intel Corporation (NASDAQ:INTC) help add back some value on insider purchases worth US$1.7m, still down US$533k"
85,Bullish insiders at Intel Corporation (NASDAQ:INTC) loaded up on US$6.5m of stock earlier this year
86,Intel (NASDAQ:INTC) shareholders have endured a 51% loss from investing in the stock a year ago
87,Intel: The Bad Can Get Better
88,Intel Reportedly Plans Major Staff Reduction—Here Are The Biggest U.S. Layoffs This Year
89,Intel Stock Gets Support As Mobileye IPO Values Self-Driving Unit At $16.7 Billion
90,(PR) Intel Reports Third-Quarter 2022 Financial Results
91,"(PR) Durabook Adds Latest 12th Gen Intel Processor and More to Its 11"" R11L Fully Rugged Tablet"
92,Taiwan Semiconductor Vs. Samsung Vs. Intel: Battle At The Leading Edge
93,"Intel: Gelsinger Got Hit In 4 Different Ways, Simultaneously"
94,Intel Was Obliterated
95,Intel: Panic Time
96,Intel: Don't Join The Panic Sellers Into Hiding Now
97,Intel: Be Greedy
98,"Durabook Adds Latest 12th Gen Intel Processor and More to Its 11"" R11L Fully Rugged Tablet"
99,"Intel: If AMD Is A Harbinger, Prepare For An Unprofitable Year"
100,"Intel Is Now Targeting a $16 Billion Valuation for Mobileye, Just Marginally Higher Than the $15.3 Billion Purchase Price Back in 2017"
101,Here’s Why Five Below (FIVE) Outperformed in the Third Quarter
102,Five Investment Firms Hitting New 52-Week Lows This Week
103,Five Below Stock Could Move Back Toward May Highs
104,Artivion (NYSE:AORT) shareholders have endured a 55% loss from investing in the stock three years ago
105,Could The Market Be Wrong About Microsoft Corporation (NASDAQ:MSFT) Given Its Attractive Financial Prospects?
106,Alger Spectra Fund is Bullish on Microsoft Corporation (MSFT)
107,Relative Strength Alert For Microsoft
108,Microsoft Beats Back King Dollar and Rising Interest Rates
109,Microsoft: Don't Give In To Fear Here
110,Microsoft (NASDAQ:MSFT) Is Increasing Its Dividend To $0.68
111,Can Earnings Boost Microsoft (MFST) Stock?
112,Why Microsoft Could Crush FQ1 2023 Earnings
113,"Microsoft Q1 2023 Quick Take: Snooze, You Lose"
114,"Microsoft Reportedly Cuts Nearly 1,000 Employees—Here Are The Biggest U.S. Layoffs This Year"
115,"Gopuff Slashes 10% Of Its Workforce, Microsoft Reportedly Cuts Nearly 1,000 Employees—Here Are The Biggest U.S. Layoffs This Year"
116,"Adobe Photoshop rival, Microsoft “Designer” is here for free"
117,List Of Bill Gates' Businesses: From Microsoft To Four Seasons Hotel
118,"Microsoft: Double-Digit Growth Again In Q3, Excluding Currency"
119,United States Steel Corporation Declares Dividend
120,United States Steel Corporation Reports Third Quarter 2022 Results
121,United States Steel Corporation (X) Q3 2022 Earnings Call Transcript
122,"United States Steel Corporation to Release Third Quarter 2022 Financial Results on October 27, 2022; Invites Retail and Institutional Investors to Submit Questions"
123,Ford Motor Company: Showing Resiliency And Further Upside Possible
124,Should You Buy Some Ford Motor Co. (F) Shares?
125,"GM, Ford set to report earnings to a tough crowd on Wall Street - Reuters"
126,"Ford, GM and other automakers face 50% profit slump next year, UBS analysts say"
127,Ford vs. GM: Which Stock Is the Better Buy?
128,"Why Ford, Boeing, and Carnival Stocks Are Rocking"
129,"Ford Sells Stake in Russia Business, Joining Carmaker Exodus - Yahoo Finance"
130,"Is Ford Stock A Buy After Earnings? Yes, Consider EPS Beat And Full-Year Outlook"
131,Ford v. Meta: Two divergent paths to the future
132,"Ford, GM and Other Carmakers Face 50% Profit Slump Next Year, UBS Analysts Say"
133,Ford's earnings drop in 3rd quarter as it pays to exit Argo autonomous driving company
134,"2023 Ford Transit Trail, Xpeng AeroHT Flies, And Tesla Says No To Aftermarket Tow Hitches: Your Morning Brief"
135,Ford employees on Performance Enhancement Plan can now exit with severance package
136,"GM, Ford Set To Report Earnings To A Tough Crowd On Wall Street"
137,"Ford Stock Lower After Q3 Earnings Beat, Narrowed 2022 Profit Guidance; Plans Argo AI Wind-Down"
138,"After GM’s big beat, can Ford drive higher on earnings?"
139,Ford Wrecked by Recession Fear
140,All Is Not 'Peachy' at Ford and There's No Reason for Traders to Chase It
141,"Ford to Cut Underperforming Workers, but CEO Remains"
142,"Stocks Edge Lower, Week Ahead, Tesla, Ford, Twitter - Five Things To Know"
143,"General Motors Is Working Through Backlog of Chip-Less Cars; Ford, Not So Much"
144,"GM, Ford set to report earnings to a tough crowd on Wall Street"
145,"Ford sells stake in Russia business, joining automaker exodus"
146,ChannelAdvisor Reports Third Quarter 2022 Results
147,"Past Scandals Continue to Plague Wells Fargo, But I Still Like the Stock"
148,Wells Fargo (WFC) Q3 2022 Earnings Call Transcript
149,"2 of Wells Fargo's Businesses Took a Major Turn for the Worst Last Quarter, But..."
150,51%of this Wells Fargo & Company (NYSE:WFC) insider's holdings were sold in the last year
151,Wells Fargo & Company (NYSE:WFC) insiders sold US$1.0m worth of stock last year which shareholders may not want to overlook
152,Wells Fargo & Company Announces Common Stock Dividend
153,Should You Consider Investing in Wells Fargo & Company (WFC)?
154,Positive week for Wells Fargo & Company (NYSE:WFC) institutional investors who lost 8.9% over the past year
155,Wells Fargo Vs. Bank of America: A Look At The Busted Preferreds
156,Wells Fargo Stock Higher Despite Q3 Profit Earnings On 'Fake Account' Litigation Hit
157,"Earnings Previews: Citigroup, JPMorgan, Morgan Stanley, UnitedHealth, Wells Fargo"
158,"Bank Earnings: JPMorgan, Wells Fargo, Morgan Stanley, Citi, PNC Report | Investor's Business Daily - Investor's Business Daily"
159,"Marvell rises on Wells Fargo upgrade, as 'healthy amount of pessimism now priced in'"
160,BP upgraded to Equal Weight at Wells Fargo on energy outlook
161,"JPMorgan, Citi, Morgan Stanley, Wells Fargo lead off Q3 bank earnings Friday"
162,Shareholders may not want to ignore the US$1.0m worth sales made by Wells Fargo & Company (NYSE:WFC) insiders this past year
163,"Following a 9.4% decline over last year, recent gains may please Wells Fargo & Company (NYSE:WFC) institutional owners"
164,"Cloudflare rises as Wells Fargo upgrades, citing benefits from increasing consolidation"
165,Viatris Inc. (VTRS) Q3 2022 Earnings Call Transcript
166,Viatris Reports Strong Third Quarter 2022 Results
167,"Oyster Point Pharma, a Leading Ophthalmology-Focused Biopharmaceutical Company, to be Acquired by Viatris"
168,"Viatris to sell Famy Care, prepares to exit non-core biz"
169,"Shareholder Alert: Ademi LLP investigates whether Oyster Point Pharma, Inc. has obtained a Fair Price in its transaction with Viatris"
170,Viatris Reports Strong Third Quarter 2022 Results
171,"The recent 7.0% gain must have brightened Top Key Executive Lawrence Ellison's week, Oracle Corporation's (NYSE:ORCL) most bullish insider"
172,"Recent gains in Oracle Corporation (NYSE:ORCL) help add back some value on insider purchases worth US$1.3m, still down US$129k"
173,Oracle Corporation (NYSE:ORCL) Shares Could Be 43% Below Their Intrinsic Value Estimate
